Tiempo (ms),Trayectoria 5,Trayectoria 6
2498,3.50749588012695,4.03526306152344
2531,3.62831878662109,4.21940612792969
2564,3.80885314941406,4.4918212890625
2597,4.05463409423828,4.82901000976563
2631,4.34350967407227,5.17988586425781
2664,4.62466430664063,5.49365234375
2697,4.84189224243164,5.72767639160156
2731,4.96549606323242,5.85565185546875
2764,4.99948120117188,5.88752746582031
2797,4.97219085693359,5.865966796875
2831,4.93279266357422,5.83857727050781
2864,4.93072128295898,5.83706665039063
2897,4.97180557250977,5.87095642089844
2931,5.00792694091797,5.9310302734375
2964,4.99190139770508,5.99928283691406
2997,4.93504333496094,6.05972290039063
3031,4.88972473144531,6.10530090332031
3064,4.88753128051758,6.13883972167969
3097,4.92080688476563,6.16983032226563
3130,4.97752380371094,6.20954895019531
3164,5.07175445556641,6.26524353027344
3197,5.2271728515625,6.3336181640625
3230,5.43703460693359,6.39607238769531
3264,5.65300369262695,6.42019653320313
3297,5.81399917602539,6.37196350097656
3330,5.88649368286133,6.24151611328125
3363,5.87898635864258,6.06626892089844
3397,5.82531356811523,5.91389465332031
3430,5.76313018798828,5.83404541015625
3463,5.72133255004883,5.8359375
3497,5.71394729614258,5.90234375
3530,5.73864364624023,6.00709533691406
3563,5.78190612792969,6.12411499023438
3597,5.82950592041016,6.23147583007813
3630,5.87375259399414,6.31330871582031
3663,5.91211318969727,6.36195373535156
3697,5.94037246704102,6.382568359375
3730,5.94959259033203,6.40336608886719
3763,5.93778228759766,6.47573852539063
3796,5.92690277099609,6.63951110839844
3830,5.9525032043457,6.88021850585938
3863,6.03202819824219,7.129150390625
3896,6.15478897094727,7.30436706542969
3930,6.29776000976563,7.35806274414063
3963,6.43841171264648,7.30281066894531
3996,6.55370712280273,7.20892333984375
4030,6.62555313110352,7.16691589355469
4063,6.66016006469727,7.23075866699219
4096,6.69037246704102,7.38871765136719
4130,6.75338363647461,7.57823181152344
4163,6.86684417724609,7.72990417480469
4196,7.01353073120117,7.81072998046875
4229,7.14438629150391,7.82890319824219
4263,7.21045684814453,7.81005859375
4296,7.19525146484375,7.78073120117188
4329,7.10807800292969,7.76553344726563
4363,6.95624923706055,7.78704833984375
4396,6.73831558227539,7.86116027832031
4429,6.46214294433594,7.98153686523438
4463,6.16600036621094,8.10566711425781
4496,5.91885375976563,8.17535400390625
4529,5.78690338134766,8.16233825683594
4562,5.79396057128906,8.08355712890625
4596,5.91582489013672,7.97927856445313
4629,6.09836578369141,7.88877868652344
4662,6.27626419067383,7.83784484863281
4696,6.40055084228516,7.83404541015625
4729,6.46092987060547,7.86808776855469
4762,6.46702194213867,7.92021179199219
4796,6.41143035888672,7.96945190429688
4829,6.27829360961914,8.00251770019531
4862,6.08523559570313,8.01791381835938
4895,5.88323974609375,8.024658203125
4929,5.71662139892578,8.0372314453125
4962,5.60592651367188,8.06962585449219
4995,5.55781555175781,8.12907409667969
5029,5.57135391235352,8.21064758300781
5062,5.63641357421875,8.29443359375
5095,5.73224258422852,8.34812927246094
5129,5.83035659790039,8.33766174316406
5162,5.90287017822266,8.25057983398438
5195,5.93287658691406,8.11880493164063
5228,5.92058181762695,8.00535583496094
5262,5.88165283203125,7.96043395996094
5295,5.83881759643555,7.99980163574219
5328,5.81110000610352,8.11431884765625
5362,5.80641937255859,8.27815246582031
5395,5.82047271728516,8.44700622558594
5428,5.8403434753418,8.56697082519531
5462,5.85025787353516,8.60768127441406
5495,5.83938217163086,8.58050537109375
5528,5.80989074707031,8.51431274414063
5562,5.77952194213867,8.43986511230469
5595,5.77351379394531,8.40095520019531
5628,5.80693817138672,8.432861328125
5662,5.86798095703125,8.51564025878906
5695,5.91756057739258,8.58393859863281
5728,5.90984344482422,8.58738708496094
5761,5.82569122314453,8.52066040039063
5795,5.69765090942383,8.41665649414063
5828,5.59365081787109,8.33735656738281
5861,5.569580078125,8.34698486328125
5895,5.64375305175781,8.46232604980469
5928,5.80149078369141,8.63385009765625
5961,6.00096893310547,8.78663635253906
5995,6.18316268920898,8.87416076660156
6028,6.30339813232422,8.89036560058594
6061,6.35848236083984,8.84906005859375
6094,6.37206649780273,8.76716613769531
6128,6.36376953125,8.66102600097656
6161,6.34259414672852,8.54777526855469
6194,6.31522750854492,8.451904296875
6228,6.28973388671875,8.41143798828125
6261,6.27411270141602,8.45536804199219
6294,6.27322387695313,8.56474304199219
6327,6.28694915771484,8.6837158203125
6361,6.31108856201172,8.76951599121094
6394,6.34003829956055,8.80220031738281
6427,6.37007522583008,8.76274108886719
6461,6.40289306640625,8.6448974609375
6494,6.44863510131836,8.48681640625
6527,6.52665710449219,8.36483764648438
6561,6.66130065917969,8.34725952148438
6594,6.86953735351563,8.44441223144531
6627,7.13979339599609,8.60072326660156
6661,7.41935729980469,8.74552917480469
6694,7.63989639282227,8.85223388671875
6727,7.76243591308594,8.94427490234375
6760,7.78912353515625,9.05076599121094
6794,7.74408340454102,9.16287231445313
6827,7.65898132324219,9.23849487304688
6860,7.56813812255859,9.24549865722656
6894,7.50324249267578,9.18757629394531
6927,7.47996139526367,9.09638977050781
6960,7.48247528076172,9.01589965820313
6993,7.47685241699219,8.98614501953125
7027,7.44913864135742,9.01930236816406
7060,7.41676712036133,9.07949829101563
7093,7.40453720092773,9.10069274902344
7127,7.41896820068359,9.03359985351563
7160,7.4318733215332,8.86918640136719
7193,7.38552856445313,8.63462829589844
7227,7.23903656005859,8.38603210449219
7260,7.01373672485352,8.18460083007813
7293,6.78195953369141,8.06167602539063
7327,6.61612701416016,8.01193237304688
7360,6.54612731933594,8.01296997070313
7393,6.55492782592773,8.04090881347656
7426,6.60249710083008,8.07624816894531
7460,6.64692687988281,8.10704040527344
7493,6.65710067749023,8.13150024414063
7526,6.62073516845703,8.1585693359375
7560,6.54316711425781,8.20576477050781
7593,6.43701934814453,8.29350280761719
7626,6.31248474121094,8.43429565429688
7660,6.17630767822266,8.61604309082031
7693,6.04030609130859,8.79322814941406
7726,5.93131256103516,8.91117858886719
7759,5.87956237792969,8.9464111328125
7793,5.88962554931641,8.91693115234375
7826,5.9328727722168,8.86231994628906
7859,5.96506881713867,8.82456970214844
