Tiempo (ms),Trayectoria 7,Trayectoria 8
1998,0.210582733154297,0.70867919921875
2031,0.211368560791016,0.81207275390625
2065,0.233619689941406,0.875259399414063
2098,0.269676208496094,0.8529052734375
2131,0.312168121337891,0.719924926757813
2165,0.356216430664063,0.507232666015625
2198,0.399776458740234,0.295120239257813
2231,0.443286895751953,0.1689453125
2264,0.489326477050781,0.176315307617188
2298,0.540901184082031,0.315170288085938
2331,0.595993041992188,0.542251586914063
2364,0.639007568359375,0.78302001953125
2398,0.636730194091797,0.96173095703125
2431,0.551284790039063,1.04461669921875
2464,0.381916046142578,1.05046081542969
2498,0.209053039550781,1.02764892578125
2531,0.166103363037109,1.03041076660156
2564,0.337265014648438,1.10067749023438
2597,0.69256591796875,1.24801635742188
2631,1.11908721923828,1.43838500976563
2664,1.49079513549805,1.61940002441406
2697,1.72633361816406,1.76631164550781
2731,1.82205963134766,1.89642333984375
2764,1.83639907836914,2.04692077636719
2797,1.84285736083984,2.24755859375
2831,1.90235137939453,2.49819946289063
2864,2.05337142944336,2.75802612304688
2897,2.28823852539063,2.96827697753906
2931,2.52975463867188,3.09402465820313
2964,2.6675910949707,3.13760375976563
2997,2.63932037353516,3.12123107910156
3031,2.47412490844727,3.07063293457031
3064,2.2824821472168,3.00917053222656
3097,2.19604110717773,2.95613098144531
3130,2.27296447753906,2.92584228515625
3164,2.46236801147461,2.92658996582031
3197,2.67936325073242,2.95986938476563
3230,2.89641952514648,3.02140808105469
3264,3.13142013549805,3.10408020019531
3297,3.36715316772461,3.20266723632813
3330,3.54147338867188,3.31855773925781
3363,3.61692047119141,3.46076965332031
3397,3.61354827880859,3.63914489746094
3430,3.57901382446289,3.84730529785156
3463,3.55593109130859,4.04852294921875
3497,3.5671501159668,4.19358825683594
3530,3.60977554321289,4.2576904296875
3563,3.65597152709961,4.24923706054688
3597,3.66040420532227,4.1904296875
3630,3.57611083984375,4.10264587402344
3663,3.38831329345703,4.00439453125
3697,3.14786148071289,3.91481018066406
3730,2.9438362121582,3.85731506347656
3763,2.82920455932617,3.85922241210938
3796,2.79578399658203,3.9427490234375
3830,2.80975723266602,4.10366821289063
3863,2.84587860107422,4.29246520996094
3896,2.90118789672852,4.43388366699219
3930,2.99531173706055,4.47950744628906
3963,3.15589141845703,4.44390869140625
3996,3.38409423828125,4.40043640136719
4030,3.62545394897461,4.4327392578125
4063,3.80170440673828,4.57254028320313
4096,3.88051223754883,4.79513549804688
4130,3.89041900634766,5.05615234375
4163,3.87869644165039,5.29835510253906
