Tiempo (ms),Trayectoria 7,Trayectoria 8
3064,2.66553115844727,3.10139465332031
3097,2.73260498046875,3.12005615234375
3130,2.91621398925781,3.19442749023438
3164,3.18007659912109,3.34475708007813
3197,3.47194290161133,3.55540466308594
3230,3.71260833740234,3.75421142578125
3264,3.81344223022461,3.84498596191406
3297,3.73808670043945,3.77859497070313
3330,3.54186248779297,3.59371948242188
3363,3.33366775512695,3.40403747558594
3397,3.2039909362793,3.33416748046875
3430,3.19527053833008,3.43067932128906
3463,3.31420516967773,3.63047790527344
3497,3.53733062744141,3.82521057128906
3530,3.80958557128906,3.94778442382813
3563,4.07359313964844,3.99359130859375
3597,4.31174087524414,3.98744201660156
3630,4.53503036499023,3.95454406738281
3663,4.73239135742188,3.91184997558594
3697,4.86557006835938,3.86848449707031
3730,4.91344451904297,3.82891845703125
3763,4.89166259765625,3.79580688476563
3796,4.83226013183594,3.77145385742188
3830,4.76288604736328,3.75843811035156
3863,4.70056915283203,3.76087951660156
3896,4.65349960327148,3.78681945800781
3930,4.6254768371582,3.85032653808594
3963,4.61964797973633,3.96974182128906
3996,4.63936233520508,4.15849304199219
4030,4.68529891967773,4.40403747558594
4063,4.7515754699707,4.65203857421875
4096,4.82362365722656,4.83596801757813
4130,4.878662109375,4.93244934082031
4163,4.8919677734375,4.96925354003906
4196,4.85717010498047,4.98722839355469
4229,4.80686950683594,5.01129150390625
4263,4.79061889648438,5.04505920410156
4296,4.82070922851563,5.07513427734375
4329,4.85503005981445,5.07647705078125
4363,4.83044815063477,5.0184326171875
4396,4.71154403686523,4.87651062011719
4429,4.52668762207031,4.65641784667969
4462,4.35415267944336,4.41409301757813
4496,4.26758575439453,4.23045349121094
4529,4.30388641357422,4.15762329101563
4562,4.45767974853516,4.20564270019531
4596,4.67505645751953,4.36515808105469
4629,4.87417602539063,4.60870361328125
4662,4.99311065673828,4.8751220703125
4696,5.01069259643555,5.09126281738281
4729,4.94265365600586,5.22050476074219
4762,4.84257507324219,5.27139282226563
4796,4.77822875976563,5.26748657226563
4829,4.7823486328125,5.2271728515625
4862,4.83747863769531,5.16246032714844
4895,4.90126419067383,5.08255004882813
